// General information: 
//  MT Manager version: 2019.1.1 
//  XDA version: 2019.1.1 build 3010 rev 85319 built on 2019-03-01
// Device information: 
//  DeviceId: 00B484A2
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10291		9.633394	0.300061	-1.948319	0.074220	-0.018220	-0.060728	0.434992	0.576797	-0.526499	0.448203
10292		9.601172	0.262267	-1.857880	0.083861	-0.021053	-0.055911	0.434869	0.577170	-0.526193	0.448202
10293		9.595095	0.286383	-1.872026	0.098771	-0.020400	-0.053228	0.434704	0.577569	-0.525856	0.448242
10294		9.609315	0.307598	-1.899318	0.108940	-0.013179	-0.049582	0.434514	0.577961	-0.525495	0.448345
10295		9.649443	0.305632	-1.927581	0.114701	-0.008119	-0.051002	0.434330	0.578361	-0.525102	0.448467
10296		9.624136	0.282313	-1.962109	0.094676	-0.017529	-0.046687	0.434169	0.578724	-0.524790	0.448521
10297		9.545571	0.249949	-1.987860	0.119225	-0.043732	-0.039192	0.433853	0.579186	-0.524496	0.448575
10298		9.562603	0.243628	-1.964216	0.140921	-0.050489	-0.038468	0.433452	0.579711	-0.524167	0.448668
10299		9.689019	0.228901	-1.907342	0.127036	-0.038146	-0.047264	0.433147	0.580198	-0.523819	0.448741
10300		9.699673	0.190237	-1.886073	0.148131	-0.014756	-0.053416	0.432852	0.580686	-0.523360	0.448929
10301		9.647509	0.340615	-1.860022	0.207974	-0.038460	-0.049078	0.432317	0.581355	-0.522822	0.449206
10302		9.592654	0.381859	-1.820457	0.244225	-0.049803	-0.047047	0.431637	0.582123	-0.522230	0.449553
10303		9.573927	0.320470	-2.018204	0.279655	-0.041256	-0.058548	0.430910	0.582978	-0.521504	0.449985
10304		9.485367	0.296554	-1.972888	0.305256	-0.034900	-0.062128	0.430128	0.583879	-0.520697	0.450500
10305		9.376620	0.275875	-1.914029	0.294808	-0.043743	-0.073950	0.429385	0.584809	-0.519893	0.450929
